Relation Type,Source,Count,Example Source,Example Target
OFFICER (EVP and CTO),SEC_FORM_4,2,Balazs Alex G.,INTUIT INC.
OFFICER (EVP and Chief Admin Off),SEC_FORM_4,2,McHale David R,EVERSOURCE ENERGY
OFFICER (EVP and Chief Business Officer),SEC_FORM_4,2,Aldema Lior,AUDIOCODES LTD
OFFICER (EVP and Chief HR Officer),SEC_FORM_4,2,Bisaccia Lisa,CVS HEALTH Corp
OFFICER (EVP and Chief ISC Officer),SEC_FORM_4,2,Grover Rishi,BECTON DICKINSON & CO
OFFICER (EVP and Chief Medical Officer),SEC_FORM_4,2,Brennan Troyen A,CVS HEALTH Corp
OFFICER (EVP and Chief Risk Officer),SEC_FORM_4,2,Fabara Paul D,STATE STREET CORP
OFFICER (EVP and Co-President of Retail),SEC_FORM_4,2,PELUSO MICHELLE A,CVS HEALTH Corp
OFFICER (EVP and Controller),SEC_FORM_4,2,Malcolm Gregory,COLGATE PALMOLIVE CO
OFFICER (EVP and Group President),SEC_FORM_4,2,Sagara Kevin C.,CVS HEALTH Corp
"OFFICER (EVP and President, Aetna)",SEC_FORM_4,2,Lynch Karen S,CVS HEALTH Corp
"OFFICER (EVP and President, NIPSCO)",SEC_FORM_4,2,Sistovaris Violet,NISOURCE INC.
OFFICER (EVP and Treasurer),SEC_FORM_4,2,D'Ambrosio Philip Gerard,"HEALTHPEAK PROPERTIES, INC."
OFFICER (EVP&President-PharmacyServices),SEC_FORM_4,2,Joyner J. David,CVS HEALTH Corp
"OFFICER (EVP, CAO & General Counsel)",SEC_FORM_4,2,Krane Hilary K,NIKE INC
"OFFICER (EVP, CFO & CAO)",SEC_FORM_4,2,Fishman Robert P,PENTAIR plc
"OFFICER (EVP, CFO & COO)",SEC_FORM_4,2,Nicholls Matthew,FRANKLIN RESOURCES INC
"OFFICER (EVP, CLO, GC & Secretary)",SEC_FORM_4,2,DeBiase Christine M.,ALLSTATE CORP
"OFFICER (EVP, Chief Accounting Officer)",SEC_FORM_4,2,DUMLAO TROY,ENTERPRISE FINANCIAL SERVICES CORP
"OFFICER (EVP, Chief Business Officer)",SEC_FORM_4,2,Platshon Scott,MICRON TECHNOLOGY INC
"OFFICER (EVP, Chief Human Resources Off)",SEC_FORM_4,2,Coleman Amy,MICROSOFT CORP
"OFFICER (EVP, Chief Legal Officer & GC)",SEC_FORM_4,2,Nguyen Diane,D-Wave Quantum Inc.
"OFFICER (EVP, Chief Operations Officer)",SEC_FORM_4,2,Koopmans Chris,"BJ's Wholesale Club Holdings, Inc."
"OFFICER (EVP, Commercial & Specialty)",SEC_FORM_4,2,Goulet Kenneth R,"Anthem, Inc."
"OFFICER (EVP, Core Services & Equipment)",SEC_FORM_4,2,Merad Abdellah,SCHLUMBERGER LIMITED/NV
"OFFICER (EVP, Corporate Development)",SEC_FORM_4,2,Grasdal Inge,BIOGEN INC.
"OFFICER (EVP, Finance and CFO)",SEC_FORM_4,2,Crews Terrell Kirk II,NEXTERA ENERGY INC
"OFFICER (EVP, GC & Chief Admin Officer)",SEC_FORM_4,2,HACKER MARK S.,HAWAIIAN ELECTRIC INDUSTRIES INC
"OFFICER (EVP, GC and Corp. Secretary)",SEC_FORM_4,2,Freedman Paul L,AES CORP
"OFFICER (EVP, GC and Secretary)",SEC_FORM_4,2,BLOCK ARTHUR R,COMCAST CORP
"OFFICER (EVP, Gen. Counsel & Corp Sec.)",SEC_FORM_4,2,Donaldson Michael P,EOG RESOURCES INC
"OFFICER (EVP, Gen. Counsel & Corp.Sec.)",SEC_FORM_4,2,McLean Kerry J,INTUIT INC
"OFFICER (EVP, Gen. Counsel & Secretary)",SEC_FORM_4,2,DE MAYNADIER PATRICK D,CHURCH & DWIGHT CO INC /DE/
"OFFICER (EVP, General Counsel & Secy)",SEC_FORM_4,2,Henderson Christopher J,"SALEM MEDIA GROUP, INC. /DE/"
"OFFICER (EVP, Global Supply Chain)",SEC_FORM_4,2,West Roderick J,DOLLAR GENERAL CORP
"OFFICER (EVP, Group Pres, Healthcare)",SEC_FORM_4,2,Rasul Reaz,BAXTER INTERNATIONAL INC
"OFFICER (EVP, Head of Public Markets)",SEC_FORM_4,2,Murphy Terrence,FRANKLIN RESOURCES INC
"OFFICER (EVP, Head of R&D)",SEC_FORM_4,2,Randhawa Simrat,"Dianthus Therapeutics, Inc. /DE/"
"OFFICER (EVP, International)",SEC_FORM_4,2,MAESTRINI ANDRE,CHURCH & DWIGHT CO INC /DE/
"OFFICER (EVP, Operations & Corp Mktg)",SEC_FORM_4,2,Henry David Philip,MKS INC
"OFFICER (EVP, People and Places)",SEC_FORM_4,2,FENNELL LAURA A,INTUIT INC
"OFFICER (EVP, Pres & CEO Financial Serv)",SEC_FORM_4,2,Culloty Maeve C,Hewlett Packard Enterprise Co
"OFFICER (EVP, Pres Diagnostics & COO)",SEC_FORM_4,2,Schroeder Mark S,LABCORP HOLDINGS INC.
"OFFICER (EVP, Pres of ED, CMO & CSO)",SEC_FORM_4,2,Caveney Brian J,LABCORP HOLDINGS INC.
"OFFICER (EVP, Pres, Central Labs & Intl)",SEC_FORM_4,2,Bailey Megan D.,LABCORP HOLDINGS INC.
"OFFICER (EVP, President & CEO, Colonial)",SEC_FORM_4,2,Arnold Timothy Gerald,Unum Group
"OFFICER (EVP, R&D)",SEC_FORM_4,2,Baumgartner Jeffrey W,"CIRRUS LOGIC, INC."
"OFFICER (EVP, Research & Development)",SEC_FORM_4,2,Harper Sean E,AMGEN INC
"OFFICER (EVP, Strategy & Corp Dev)",SEC_FORM_4,2,Rhodes Matthew,AQUA AMERICA INC
"OFFICER (EVP, Strategy)",SEC_FORM_4,2,Cho Albert,MICROSOFT CORP
"OFFICER (EVP, Tech. and Bus. Solutions)",SEC_FORM_4,2,Karaboutis Adriana,BIOGEN IDEC INC.
"OFFICER (EVP, Technology and Operations)",SEC_FORM_4,2,Sethi Alok,FRANKLIN RESOURCES INC
"OFFICER (EVP, Technology)",SEC_FORM_4,2,Deboer Scott J,MICRON TECHNOLOGY INC
"OFFICER (EVP,Co-Chief Operating Officer)",SEC_FORM_4,2,Boyd James W.,"Toll Brothers, Inc."
"OFFICER (EVP,Corp Affairs & Gen Counsel)",SEC_FORM_4,2,Pletcher Brett A,GILEAD SCIENCES INC
OFFICER (EVP-Business Development),SEC_FORM_4,2,Olivier Leon J,EVERSOURCE ENERGY
OFFICER (EVP-HR & External Affairs),SEC_FORM_4,2,Hart Mark J,PARKER HANNIFIN CORP
OFFICER (EVP/CFO),SEC_FORM_4,2,Liebman Stephanie,AIAI Holdings Corp
OFFICER (EVP/Chief Credit Officer),SEC_FORM_4,2,Boyle Hugh F,F&M BANK CORP
OFFICER (EVP/Chief Legal Officer),SEC_FORM_4,2,McNeal Gwyn Goodson,EAGLE BANCORP INC
OFFICER (EVP/Chief Mkt & Comm Officer),SEC_FORM_4,2,Carere Brie,FEDEX CORP
OFFICER (EVP/General Counsel),SEC_FORM_4,2,Betts Kenneth,AIAI Holdings Corp
OFFICER (EVP: CHRO),SEC_FORM_4,2,Heinle Treasure,"NIKE, Inc."
OFFICER (EVP: Chief Legal Officer),SEC_FORM_4,2,Leinwand Robert,"NIKE, Inc."
OFFICER (EVP: GBL SPORTS MKTG),SEC_FORM_4,2,Slusher John F,NIKE INC
OFFICER (EVP: HR),SEC_FORM_4,2,Matheson Monique S.,NIKE INC
"OFFICER (Ex VP, Refining)",SEC_FORM_4,2,Aydt Timothy J,Marathon Petroleum Corp
OFFICER (Exec VP & Chief Fin Ofc),SEC_FORM_4,2,Khoury Maria A,Marathon Petroleum Corp
OFFICER (Exec. VP & President),SEC_FORM_4,2,Hamic William Thomas,INTERNATIONAL PAPER CO /NEW/
"OFFICER (Exec. VP, COO)",SEC_FORM_4,2,Koch Stephen Paul,RELIANCE STEEL & ALUMINUM CO
OFFICER (Executive Fellow),SEC_FORM_4,2,Kawai Mitsuru,TOYOTA MOTOR CORP/
OFFICER (Executive VP and COO),SEC_FORM_4,2,SCHWEIGER WERNER J,EVERSOURCE ENERGY
OFFICER (Executive Vice President & CIO),SEC_FORM_4,2,Brackenridge Alexander,EQUITY RESIDENTIAL
OFFICER (Executive Vice President and*),SEC_FORM_4,2,Enns Peter C.,Chubb Ltd
"OFFICER (Executive Vice President, CFO)",SEC_FORM_4,2,Brazis Nicholas J.,"AEMETIS, INC"
OFFICER (Former Chief Legal Officer),SEC_FORM_4,2,Rocklin Amy M,Madison Covered Call & Equity Strategy Fund
OFFICER (FormerChief Compliance Officer),SEC_FORM_4,2,Mickey Mark,CALAMOS CONVERTIBLE & HIGH INCOME FUND
"OFFICER (GBL CORP CONTROLLER, CAO)",SEC_FORM_4,2,ANDRESKI PETER M,VISA INC.
OFFICER (GC and Corporate Secretary),SEC_FORM_4,2,Bergmann Joshua Benjamin,"GYRE THERAPEUTICS, INC."
OFFICER (GC),SEC_FORM_4,2,Avery William H,"MICROVISION, INC."
OFFICER (General Counsel/Corp Secretary),SEC_FORM_4,2,Marbach Mary,Accenture plc
OFFICER (General Manager - Garmin Corp.),SEC_FORM_4,2,Huang Pao-Chang,GARMIN LTD
"OFFICER (General Manager, KFC)",SEC_FORM_4,2,Huang Johnson,"Yum China Holdings, Inc."
OFFICER (Global Controller),SEC_FORM_4,2,Bowers Louis F,HP INC
OFFICER (Global Financial Controller),SEC_FORM_4,2,Bingham Jonathan,HSBC HOLDINGS PLC
OFFICER (Global General Counsel),SEC_FORM_4,2,Mogensen Lauren A,BANK OF AMERICA CORP /DE/
"OFFICER (Group Pres., GMNS)",SEC_FORM_4,2,Marrs Anna,AMERICAN EXPRESS CO
OFFICER (Group President Infrastructure),SEC_FORM_4,2,Donahue John Timothy,VALMONT INDUSTRIES INC
"OFFICER (Grp SVP, Chief Medical Officer)",SEC_FORM_4,2,Sandrock Alfred,BIOGEN IDEC INC.
OFFICER (Head of Asset Management),SEC_FORM_4,2,Harper Robert G IV,"Blackstone Real Estate Income Trust, Inc."
OFFICER (Head of Corporate Development),SEC_FORM_4,2,HUGHES-JONES NICHOLAS JEREMY,BIOGEN INC.
OFFICER (Head of International),SEC_FORM_4,2,Thomson-Hall Pamela,CITIGROUP INC
OFFICER (Interim General Counsel),SEC_FORM_4,2,Davies Scott M,"ILLUMINA, INC."
OFFICER (Interim President and CEO),SEC_FORM_4,2,Keyser Jonathan,VERRA MOBILITY Corp
OFFICER (Operating Officer),SEC_FORM_4,2,Imura Takahiro,TOYOTA MOTOR CORP/
OFFICER (PRES:CONSUMER & MKTPLC),SEC_FORM_4,2,Hill Elliott,NIKE INC
OFFICER (PRESIDENT & CFO),SEC_FORM_4,2,Chybowski Joseph M.,Bridgewater Bancshares Inc
OFFICER (PRESIDENT - ELECTROMECHANICAL),SEC_FORM_4,2,Hermance David F.,AMETEK INC/
OFFICER (PRESIDENT AND COO),SEC_FORM_4,2,HORNBUCKLE WILLIAM,MGM Resorts International
OFFICER (PRESIDENT POTTERY BARN BRAND),SEC_FORM_4,2,Benson Marta,WILLIAMS SONOMA INC
OFFICER (PRESIDENT WEST ELM BRAND),SEC_FORM_4,2,Bellos Alex,WILLIAMS SONOMA INC
OFFICER (PRESIDENT WS BRAND),SEC_FORM_4,2,Hayes Janet,WILLIAMS SONOMA INC
OFFICER (Portfolio Manager),SEC_FORM_4,2,Jhirad Yigal Dan,Cohen & Steers Real Estate Opportunities & Income Fund
OFFICER (Pres Digital & Integration),SEC_FORM_4,2,Jaggi Rakesh,SCHLUMBERGER LIMITED/NV
"OFFICER (Pres, Merrill Wealth Mgmt)",SEC_FORM_4,2,Hans Lindsay D.,BANK OF AMERICA CORP /DE/
OFFICER (Pres. and CEO of Sub),SEC_FORM_4,2,Bolster Brian W,NEXTERA ENERGY INC
OFFICER (Pres.& Chief Operating Officer),SEC_FORM_4,2,Ross Andrew D,PARKER HANNIFIN CORP
OFFICER (Pres/COO Dollar Tree Stores),SEC_FORM_4,2,Witynski Michael A.,DOLLAR TREE INC
"OFFICER (President & CEO, Guy Carpenter)",SEC_FORM_4,2,HEARN PETER C,"MARSH & MCLENNAN COMPANIES, INC."
"OFFICER (President & CEO, O&R)",SEC_FORM_4,2,O'Connell Michele,CONSOLIDATED EDISON INC
OFFICER (President & CEO/FedEx Freight),SEC_FORM_4,2,DUCKER MICHAEL L,FEDEX CORP
OFFICER (President - RIS),SEC_FORM_4,2,LITTLEFIELD CHRISTOPHER J,PRINCIPAL FINANCIAL GROUP INC
OFFICER (President - Western Hemisphere),SEC_FORM_4,2,Maxwell Michael Casey,HALLIBURTON CO
OFFICER (President and CCO),SEC_FORM_4,2,Maner Tarkan,DarioHealth Corp.
OFFICER (President and CEO - PAM),SEC_FORM_4,2,Bhatia Kamal,PRINCIPAL FINANCIAL GROUP INC
OFFICER (President and CEO of OWG),SEC_FORM_4,2,McDonald Scott,"MARSH & MCLENNAN COMPANIES, INC."
OFFICER (President of Comm. Banking),SEC_FORM_4,2,GEISEL THOMAS X,WEBSTER FINANCIAL CORP
"OFFICER (President, Global Geographies)",SEC_FORM_4,2,Blacker Kelly K,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
"OFFICER (President, Global Services)",SEC_FORM_4,2,Bell Blake R,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
"OFFICER (President, IDL)",SEC_FORM_4,2,Baroni Dario,MCDONALDS CORP
"OFFICER (President, ISS Division)",SEC_FORM_4,2,Gavelle Jean-Luc,AMPHENOL CORP /DE/
"OFFICER (President, Industries)",SEC_FORM_4,2,Harrison David Benjamin,"Intapp, Inc."
"OFFICER (President, Infrastructure)",SEC_FORM_4,2,Colwell James Christopher,VALMONT INDUSTRIES INC
"OFFICER (President, Materials Group)",SEC_FORM_4,2,GRAVANIS GEORGES,Avery Dennison Corp
"OFFICER (President, North America)",SEC_FORM_4,2,Carmichael John Patrick,KIMBERLY CLARK CORP
"OFFICER (President, Otis Asia Pacific)",SEC_FORM_4,2,Lopez Nicolas Eduardo,Otis Worldwide Corp
"OFFICER (President, Otis China)",SEC_FORM_4,2,Loh Sally,Otis Worldwide Corp
"OFFICER (President, PharMerica)",SEC_FORM_4,2,Greenwell Scott A.,"BrightSpring Health Services, Inc."
"OFFICER (President, SaaS Business)",SEC_FORM_4,2,Ghoshal Kaushik,RESMED INC
"OFFICER (President, Salty Snacks)",SEC_FORM_4,2,Riggs Kristen J,HERSHEY CO
"OFFICER (President, Worldwide CED)",SEC_FORM_4,2,JOHNSON DALE D,GRACO INC
"OFFICER (President, Worldwide Process)",SEC_FORM_4,2,Eberlein Mark D,GRACO INC
OFFICER (SENIOR VICE PRESIDENT),SEC_FORM_4,2,Breighner Robert G. JR,"Archrock, Inc."
OFFICER (SEVP & Chief Financial Officer),SEC_FORM_4,2,Daniel K Weiss,"HOME BANCORP, INC."
OFFICER (SEVP Chief Operating Officer),SEC_FORM_4,2,Restel Anthony J,FIRST HORIZON CORP
"OFFICER (SEVP, Chief Admin. Officer)",SEC_FORM_4,2,Lemoine Natalie B.,ENTERPRISE FINANCIAL SERVICES CORP
"OFFICER (SEVP, Chief Risk Officer)",SEC_FORM_4,2,Huffman Bridget,ENTERPRISE FINANCIAL SERVICES CORP
OFFICER (SR VICE PRESIDENT & CFO),SEC_FORM_4,2,ECKERT BRET J,ATMOS ENERGY CORP
"OFFICER (SR VP, HUMAN RESOURCES)",SEC_FORM_4,2,Haefner Michael E,ATMOS ENERGY CORP
"OFFICER (SR VP, Safety & Enterprise Ser)",SEC_FORM_4,2,AKERS JOHN K,ATMOS ENERGY CORP
"OFFICER (SR VP, UTILITY OPERATIONS)",SEC_FORM_4,2,MCDILL JOHN S,ATMOS ENERGY CORP
OFFICER (SVP & Asst Secretary),SEC_FORM_4,2,Petersen Christopher O.,"Columbia Seligman Premium Technology Growth Fund, Inc."
OFFICER (SVP & CLO),SEC_FORM_4,2,Park Hyun,FIRSTENERGY CORP
OFFICER (SVP & CTO),SEC_FORM_4,2,Ronaghi Mostafa,ILLUMINA INC
OFFICER (SVP & Chief Digital Officer),SEC_FORM_4,2,Anderson Matthew R,ARROW ELECTRONICS INC
OFFICER (SVP & Chief Nurse Executive),SEC_FORM_4,2,Mosier Sammie S,"HCA Healthcare, Inc."
OFFICER (SVP & Chief Technology Officer),SEC_FORM_4,2,Field Mark N,DEVON ENERGY CORP/DE
OFFICER (SVP & Corp. Controller),SEC_FORM_4,2,Munson Paul E.,EXELON CORP
OFFICER (SVP & GENERAL COUNSEL),SEC_FORM_4,2,Jimenez Freddy A.,"Celldex Therapeutics, Inc."
OFFICER (SVP & GM Semiconductor Busines),SEC_FORM_4,2,Hamed Karim Wagdy,LITTELFUSE INC /DE
OFFICER (SVP - Allegion Americas),SEC_FORM_4,2,Ilardi David S.,Allegion plc
OFFICER (SVP - Chief HR Officer),SEC_FORM_4,2,Hawes Jennifer L,Allegion plc
OFFICER (SVP - Global Ent Svc & CSO),SEC_FORM_4,2,Clark Benjamin G.,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OFFICER (SVP - Strategy and Development),SEC_FORM_4,2,Grant Daniel L.,MARTIN MARIETTA MATERIALS INC
OFFICER (SVP Chief Commercial Officer),SEC_FORM_4,2,Van Oene Mark,ILLUMINA INC
OFFICER (SVP Chief Ethics & Com Officer),SEC_FORM_4,2,Fleming Michael,"Merck & Co., Inc."
OFFICER (SVP Chief Financial Officer),SEC_FORM_4,2,GOSWAMI JOYDEEP,HILLS BANCORPORATION
OFFICER (SVP Clinical Genomics Group),SEC_FORM_4,2,Hampton Malcolm Garret,ILLUMINA INC
OFFICER (SVP Fin. - Global Controller),SEC_FORM_4,2,Smart Dalton,"Merck & Co., Inc."
"OFFICER (SVP General Counsel, Secretary)",SEC_FORM_4,2,KAY STEPHEN H,"ROKU, INC"
OFFICER (SVP Global Operations),SEC_FORM_4,2,Kim Francis,WATERS CORP /DE/
OFFICER (SVP Human Resources),SEC_FORM_4,2,Cashion Tana K,DEVON ENERGY CORP/DE
"OFFICER (SVP Mktg, Prod & Strat Plan)",SEC_FORM_4,2,OSTADAN OMEAD,ILLUMINA INC
OFFICER (SVP and CHRO),SEC_FORM_4,2,Schechtman Natalie,HERSHEY CO
OFFICER (SVP and COO),SEC_FORM_4,2,Malloy Brian J,CARPENTER TECHNOLOGY CORP
OFFICER (SVP and Chief Digital Officer),SEC_FORM_4,2,Juneja Girish,"BWX Technologies, Inc."
OFFICER (SVP and Chief Legal Officer),SEC_FORM_4,2,Kuykendall Anne,Avery Dennison Corp
OFFICER (SVP and Secretary),SEC_FORM_4,2,Li Jeffrey K,"Keysight Technologies, Inc."
"OFFICER (SVP,  Chief Accounting Officer)",SEC_FORM_4,2,Cheung Kenneth,"Super Micro Computer, Inc."
"OFFICER (SVP, CAO and Controller)",SEC_FORM_4,2,Stevens Brian,BAXTER INTERNATIONAL INC
"OFFICER (SVP, CLO & CORP SEC)",SEC_FORM_4,2,Lim Hannah S.,BALL Corp
"OFFICER (SVP, CLO & Secretary)",SEC_FORM_4,2,Jean-Claude Carine Lamercie,"ARROW ELECTRONICS, INC"
"OFFICER (SVP, Chief Accting Off & Cont.)",SEC_FORM_4,2,Felter John-Paul W.,HUMANA INC
"OFFICER (SVP, Chief Digital Officer)",SEC_FORM_4,2,CHUMLEY ROBERT J,DOVER Corp
"OFFICER (SVP, Chief Growth Officer)",SEC_FORM_4,2,Loeger Julie A,EBAY INC
"OFFICER (SVP, Chief Human Resources Off)",SEC_FORM_4,2,SAGAR MALAVIKA,ARROW ELECTRONICS INC
"OFFICER (SVP, Chief Medical Officer)",SEC_FORM_4,2,Caveney Brian J,LABORATORY CORP OF AMERICA HOLDINGS
"OFFICER (SVP, Chief Product Officer)",SEC_FORM_4,2,Frost Houston Korth,EBAY INC
"OFFICER (SVP, Chief Strategy Officer)",SEC_FORM_4,2,Koppel Adam,BIOGEN IDEC INC.
"OFFICER (SVP, Controller & PAO)",SEC_FORM_4,2,Ricci Jeff T,Hewlett Packard Enterprise Co
"OFFICER (SVP, Controller and CAO)",SEC_FORM_4,2,WALL PETER R,SEMPRA
"OFFICER (SVP, Controller, and CAO)",SEC_FORM_4,2,Ferren Eric K,ALLSTATE CORP
"OFFICER (SVP, Corporate Controller)",SEC_FORM_4,2,Dahl Andrew M.,Edwards Lifesciences Corp
"OFFICER (SVP, Engineering)",SEC_FORM_4,2,ADDIEGO GINETTO,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Finance & Corp Controller)",SEC_FORM_4,2,Becker Stefan,CORNING INC /NY
"OFFICER (SVP, GC & Secretary)",SEC_FORM_4,2,Knudsen Jeannette L,HERSHEY CO
"OFFICER (SVP, GENERAL COUNSEL)",SEC_FORM_4,2,Eckert Celia,"Motorola Solutions, Inc."
"OFFICER (SVP, General Counsel & Secr.)",SEC_FORM_4,2,Cabrera Ivonne M,DOVER Corp
"OFFICER (SVP, General Counsel and Secy)",SEC_FORM_4,2,BAR ROSELYN R,MARTIN MARIETTA MATERIALS INC
"OFFICER (SVP, General Counsel&Secretary)",SEC_FORM_4,2,Beard Robert P,MICRON TECHNOLOGY INC
"OFFICER (SVP, General Counsel, Corp Sec)",SEC_FORM_4,2,Smith William A II,RELIANCE STEEL & ALUMINUM CO
"OFFICER (SVP, General Counsel, and Sec.)",SEC_FORM_4,2,Tang Michael,AGILENT TECHNOLOGIES INC
"OFFICER (SVP, Global Quality & Ops)",SEC_FORM_4,2,RAGUSA ROBERT P,ILLUMINA INC
"OFFICER (SVP, President TA Instruments)",SEC_FORM_4,2,Kelly Terrence P,WATERS CORP /DE/
"OFFICER (SVP, President, APAC)",SEC_FORM_4,2,Flynn Steven,BAXTER INTERNATIONAL INC
"OFFICER (SVP, R&D)",SEC_FORM_4,2,Chairman David,LATTICE SEMICONDUCTOR CORP
"OFFICER (SVP, Secretary & Gen Counsel)",SEC_FORM_4,2,Becker Scott E,GENESCO INC
"OFFICER (SVP, Secretary and GC)",SEC_FORM_4,2,Colleran David,INSULET CORP
"OFFICER (SVP, Worldwide Sales)",SEC_FORM_4,2,Bokan Michael W,"ALLEGRO MICROSYSTEMS, INC."
OFFICER (SVP-Chief Accounting Officer),SEC_FORM_4,2,Hofmeister Tracy L,DEVON ENERGY CORP/DE
OFFICER (SVP-ChiefActngOfcr&Controller),SEC_FORM_4,2,Dial Debra L.,AT&T INC.
OFFICER (SVP-Corporate Relations),SEC_FORM_4,2,NOLAN JOSEPH R JR,EVERSOURCE ENERGY
OFFICER (SVP/Chief Accounting Officer),SEC_FORM_4,2,ROSSI FRANCESCO S,NATIONAL HEALTH INVESTORS INC
OFFICER (See Remarks below),SEC_FORM_4,2,Dooley Mary Beth,"SYNLOGIC, INC."
OFFICER (Senior EVP and CIO),SEC_FORM_4,2,JOHNSTON SHANNON A,GLOBAL PAYMENTS INC
OFFICER (Senior VP & Secretary),SEC_FORM_4,2,Eaton Craig L,Avery Dennison Corp
OFFICER (Senior VP - CFO),SEC_FORM_4,2,Hackett David A,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OFFICER (Senior VP - CIO),SEC_FORM_4,2,Hawkins Courtney A,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OFFICER (Senior VP - General Counsel),SEC_FORM_4,2,Clark Benjamin G.,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OFFICER (Senior Vice President & CDIO),SEC_FORM_4,2,Mullins Anne,CORNING INC /NY
"OFFICER (Senior Vice President, Finance)",SEC_FORM_4,2,Agarwal Arjun,"Oruka Therapeutics, Inc."
OFFICER (Special Advisor),SEC_FORM_4,2,Douglas Robert Andrew,RELIANCE STEEL & ALUMINUM CO
OFFICER (Sr EVP & CFO),SEC_FORM_4,2,Nigro Joseph,EXELON CORP
OFFICER (Sr EVP & Chief Credit Officer),SEC_FORM_4,2,Hung Thomas,FIRST HORIZON CORP
OFFICER (Sr VP & Chief Devel. Officer),SEC_FORM_4,2,Banerjee Anup R,SNAP-ON Inc
OFFICER (Sr VP & Pres - Tools),SEC_FORM_4,2,Chambers Timothy L,SNAP-ON Inc
OFFICER (Sr VP & President - RS&I Group),SEC_FORM_4,2,Ward Thomas J,SNAP-ON Inc
OFFICER (Sr VP - Finance & CFO),SEC_FORM_4,2,Pagliari Aldo John,SNAP-ON Inc
OFFICER (Sr VP and CFO),SEC_FORM_4,2,Butler Dean Warren,Aptose Biosciences Inc.
OFFICER (Sr VP and General Counsel),SEC_FORM_4,2,BUTLER GREGORY B,EVERSOURCE ENERGY
OFFICER (Sr VP and General Manager),SEC_FORM_4,2,CONRAD ROBERT J,PARK AEROSPACE CORP
"OFFICER (Sr VP, Gen Counsel, Corp Sec'y)",SEC_FORM_4,2,BATEMAN JESSICA WALKER,ATMOS ENERGY CORP
"OFFICER (Sr VP, Secy & Chf Leg Ofc)",SEC_FORM_4,2,Bosco Sara Yang,EMERSON ELECTRIC CO
OFFICER (Sr. EVP & CFO),SEC_FORM_4,2,Dmuchowski Hope,FIRST HORIZON CORP
OFFICER (Sr. EVP and CFO),SEC_FORM_4,2,Losch William C III,FIRST HORIZON CORP
OFFICER (Sr. VP & COO),SEC_FORM_4,2,Lee John Tseng-Chung,MKS INSTRUMENTS INC
OFFICER (Sr. VP Finance & CFO),SEC_FORM_4,2,Barbato Thomas L,COHU INC
OFFICER (Sr. VP Global Engr & Const),SEC_FORM_4,2,Chilton Michael,AES CORP
OFFICER (Sr. VP and Chief HR Officer),SEC_FORM_4,2,Britt Lisa P.,PPG INDUSTRIES INC
OFFICER (Sr. VP of Finance),SEC_FORM_4,2,Garcia David Michael,"CapsoVision, Inc"
"OFFICER (Sr. VP, Business Units)",SEC_FORM_4,2,Lee John Tseng-Chung,MKS INSTRUMENTS INC
"OFFICER (Sr. VP, General Counsel & Sec)",SEC_FORM_4,2,Luning Christopher Paul,AQUA AMERICA INC
OFFICER (Sr. Vice President and CFO),SEC_FORM_4,2,Forsythe Christopher T,ATMOS ENERGY CORP
OFFICER (V.P. & Controller),SEC_FORM_4,2,FOY STEPHEN D,MCCORMICK & CO INC
"OFFICER (V.P., Corporate Controller)",SEC_FORM_4,2,Gonsalves Rodney,AGILENT TECHNOLOGIES INC
OFFICER (VP & CONTROLLER),SEC_FORM_4,2,Lampo Craig A,AMPHENOL CORP /DE/
OFFICER (VP & Chief Digital & Info Off.),SEC_FORM_4,2,Parel Dinu J,PARKER HANNIFIN CORP
OFFICER (VP & Chief Tech. & Innov. Off.),SEC_FORM_4,2,Czaja Mark T,PARKER HANNIFIN CORP
OFFICER (VP & Corporate Controller),SEC_FORM_4,2,FOLDEN RODNEY,COOPER COMPANIES INC
OFFICER (VP & Pres-Engineered Matl. Grp),SEC_FORM_4,2,Bendali Rachid,PARKER HANNIFIN CORP
OFFICER (VP & Pres. - Fluid Conn.),SEC_FORM_4,2,Scott Patrick,PARKER HANNIFIN CORP
OFFICER (VP & Pres.- Eng. Mat. Grp.),SEC_FORM_4,2,Bendali Rachid,PARKER HANNIFIN CORP
OFFICER (VP & Pres.- Motion Sys. Grp.),SEC_FORM_4,2,Bracht Berend,PARKER HANNIFIN CORP
OFFICER (VP & Pres.-Fluid Conn.),SEC_FORM_4,2,Scott Patrick,PARKER HANNIFIN CORP
OFFICER (VP & President-Aerospace),SEC_FORM_4,2,Reidy Jay,PARKER HANNIFIN CORP
OFFICER (VP & President-Filtration Grp.),SEC_FORM_4,2,Jacobson Matthew A.,PARKER HANNIFIN CORP
OFFICER (VP - Global Controller and CAO),SEC_FORM_4,2,Jeffers Byron Michael,"FIRST SOLAR, INC."
OFFICER (VP - Operations Development),SEC_FORM_4,2,Boyd Iain,SNAP-ON Inc
OFFICER (VP Finance),SEC_FORM_4,2,Biguet Stephane,SCHLUMBERGER LIMITED/NV
