EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
472053956,WOMEN WITHOUT ROOFS,% ANNA TOWNSEND,BOURNEMOUTH DORSET BH1 3HR,UNITED KINGDOM,,00000-0000,0000,03,3,1000,201507,1,15,000000000,2,01,202603,0,0,02,0,03,0,0,0,,
472146446,603 AOC TOP 3,% 603 AOC TOP 3,UNIT 3105,APO,AE,09094-3105,0000,03,3,2000,202506,1,04,000000000,5,01,,0,0,00,1,01,,,,W30,
472466387,WEIOU EDUCATION FOUNDATION,,SACRAMENTO CA - CALIFORNIA 95816,COMOROS,,00000-0000,0000,03,3,1000,201810,1,15,000000000,1,01,202509,0,0,02,0,09,0,0,0,W99,
472497188,THE JONATHAN TOEWS FOUNDATION,% SENFF MGMT 47 ALDERBROOK RD,LOCAL,CANADA,,00000-0000,0000,03,3,1000,201605,1,04,000000000,1,01,202512,4,1,00,1,12,417536,1,,,
472764016,NOOKSACK VALLEY YOUTH BASKETBALL,% TANYA SILVES,NOOKSACK WA 98276-9116,BURKINA FASO,,00000-0000,0000,03,3,1000,201503,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,N62,
472886678,FRIENDS OF CANADIAN WILDERNESS,% ERIK BLACHFORD,OTTAWA ONTARIO K2P 0A4,CANADA,,00000-0000,0000,03,3,1200,201906,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,C60,
473032905,INFERENCE THE INTERNATIONAL REVIEW OF SCIENCE INC,% DAVID BERLINSKI,CHEZ BERLINSKI 14 RUE CHANOINESSE,FRANCE,,00000-0000,0000,03,3,2800,201507,1,03,000000000,1,01,202407,4,1,00,1,07,127258,1,,U20,
473268390,SAKURA VOLLEYBALL CLUB,% ANTHONY S SAN NICOLAS,PSC 473 BOX 329,FPO,AP,96349-0004,0000,03,3,1000,201609,1,16,000000000,5,01,202312,0,0,02,0,12,0,0,0,N60,
473341861,31 MXS BOOSTER CLUB,,31 MXS/CSS UNIT 6235 BOX 130,APO,AE,09604-6235,0000,03,3,1000,202507,1,04,000000000,5,01,,0,0,00,1,03,,,,W30,
473384664,NORTHWEST BAPTIST THEOLOGICAL COLLEGE,,LANGLEY BC V2Y1Y1,CANADA,,00000-0000,0000,03,3,2700,202205,4,11,000000000,1,01,202512,7,6,01,0,12,9730948,2211936,2211936,B42,NORTHWEST BAPTIST SEMINARY
473505271,SCOTT MENTORSHIP GOLF TOURNAMENT GROUP,% ABRAHAM MORRALL,FAYETTEVILLE GA 30215,GEORGIA,,00000-0000,0000,03,3,1000,201602,1,15,000000000,5,01,202512,0,0,02,0,12,0,0,0,W12,
473572457,LOCAL IMPACT FOR FAMILIES AND TEAM OSAN,,OPC 3 BOX 2065-3,APO,AP,96266-0000,0000,03,3,1000,202604,1,16,000000000,1,01,,0,0,01,0,12,,,,P29,
473645950,ROTARY CLUB OF SWANSEA ILLINOIS FOUNDATION,,BELLEVILLE IL 62223,AFGHANISTAN,,00000-0000,0000,03,3,1200,201504,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,W12,
474050443,OPPORTUNITY TRANSFORMING LIVES,% NAJIY SABIR,CLEVELAND 44112,AFGHANISTAN,,00000-0000,0000,03,3,1000,201704,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,S20,
474192714,LAYING FOUNDATION LIFE CENTER,,GAINESVILLE GA 30507,GEORGIA,,00000-0000,0000,03,3,1000,201606,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P20,
474221220,ARMED FORCES COMMUNICATIONS AND ELECTRONICS ASSOCIATION,% TODD WEINGEROFF,PSC 469 BOX 1193,APO,AE,09227-0012,3185,06,9,2000,198209,2,00,065207000,1,01,202412,0,0,02,0,12,0,0,0,,EIFEL CHAPTER
474229127,AFCEA EDUCATIONAL FOUNDATION,% TODD WEINGEROFF,PSC 469 BOX 1193,APO,AE,09227-0012,3207,03,9,1200,198410,1,15,040041000,1,01,202509,0,0,02,0,09,0,0,0,,EIFEL CHAPTER
474623269,AVIANO THRIFT SHOP,% RACHEL ODEN,PSC 103 BOX 6122,APO,AE,09604-0000,0000,03,3,1000,201507,1,16,000000000,5,01,202512,0,0,02,0,12,0,0,0,P29,
474876564,ITEOE BUSINESS INTERNATIONAL INC,% RAY LOVE HENDRICKS,ACCRA GREATER ACCRA REG,GHANA,,00000-0000,0000,03,3,1000,201905,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,J99,
475085767,MILITARY ORDER OF THE COOTIE OF THE UNITED STATES,% BARRY L LARSON,PSC 517 BOX 4868R,FPO,AP,96517-0049,1710,04,9,1000,196501,2,00,907000000,5,01,202312,0,0,02,0,12,0,0,0,,PUP TENT 15 MIGHTY PINATUBO
475111083,CARING HEALTH CONCIERGE INC,% CINDY L JOSEPH,KINGSHILL 00851,BRITISH VIRGIN ISLANDS,,00000-0000,0000,03,3,1200,202603,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,E60,
475272996,SIR AKOMA MEMORIAL FOUNDATION,% UGOCHUKWU ENYINNAYA AKOMA,PO BOX 12551,TAMUNING,GU,96931-2551,0000,03,3,1000,201602,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,P33,
475497144,LOVE 4 LUKE CORPORATION,% MARY JO DUNN,GLASTONBURY 06033,THE BAHAMAS,,00000-0000,0000,03,3,1200,201603,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,P20,
510138426,NAVAL HOSPITAL CHILD CARE CENTER,,BOX 44,FPO,AP,96630-0000,0000,03,3,1000,197507,1,15,574000000,5,01,,0,0,14,0,12,,,,,
510193613,TRI-VALLEY RIDERS,% SONJA,RIVERSIDE CA 92504,CANADA,,00000-0000,0000,04,3,3000,197607,2,00,297317318,1,01,202412,0,0,02,0,12,0,0,0,,
510195059,TOASTMASTERS INTERNATIONAL,% EMCEE 20,LA PIEDAD MIC 59334,MEXICO,,00000-0000,0820,03,9,2000,194505,1,16,059319000,5,01,202512,0,0,02,0,12,0,0,0,,20 EMCEE 20
510210881,AMERICAN FEDERATION OF TEACHERS,% MARIE SAINZ-FUNARO,PSC 90 BOX 133,APO,AE,09822-0002,0787,05,9,3000,196711,2,00,263264279,5,01,202509,4,4,01,0,09,470705,284901,284901,,OVERSEAS FEDERATION OF TEACHERS
510252071,AIR FORCE SERGEANTS ASSOCIATION,% MICHAEL A WINNE,PSC 78 BOX 3013,APO,AP,96326-0031,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,01,0,12,,,,,1551 CHAPTER
510252106,AIR FORCE SERGEANTS ASSOCIATION,% ADAM MILLER JANSTA,PSC 41 BOX 4218,APO,AE,09464-0043,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,01,0,12,,,,,1669 CHAPTER
510252107,AIR FORCE SERGEANTS ASSOCIATION,% MASON HARNEY,PSC 47 BOX 1078,APO,AE,09470-0011,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,02,0,12,,,,,1665 CHAPTER
510252110,AIR FORCE SERGEANTS ASSOCIATION,% ANTHONY MARKETTE,PSC 50 BOX 962,APO,AE,09494-0010,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,02,0,12,,,,,1671 CHAPTER
510255903,ARMED FORCES COMMUNICATIONS AND ELECTRONICS ASSOCIATION,% KEITH REPIK,86 MWR RAB BLDG 412 BOX 29,APO,AE,09094-0000,3185,06,9,2000,198209,2,00,065000000,1,01,202512,0,0,02,0,12,0,0,0,,KAISERSLAUTERN CHAPTER
510262624,AMERICAN FRIENDS OF THE NATL MUSEUM OF BERMUDA INC,,MANGROVE BAY MA BX,BERMUDA,,00000-0000,0000,03,3,1000,198204,1,15,060030000,1,01,202512,3,5,01,0,12,87375,607670,505131,,
510324414,AEGEAN CENTER FOR THE FINE ARTS INC,% THE AEGEAN CENTER,PAROS KYKLADES 84400,GREECE,,00000-0000,0000,03,3,2000,199209,2,11,046030000,1,01,202512,0,0,02,0,12,0,0,0,A6E0,
510344117,THE LAY CENTRE AT FOYER UNITAS INSTITUTE,% THE LAY CENTRE AT FOYER UNITAS IN,ROMA RM 00184,ITALY,,00000-0000,0000,03,3,1200,199304,2,16,042000000,1,01,202507,4,5,01,0,07,295493,671705,671705,B80Z,
510381264,UNITED STATES OPEN UNIVERSITY INC,% FINANCE AND BUSINESS SERVICES,MILTON KEYNES MK7 6AA,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200004,2,17,000000000,1,01,202507,1,0,02,0,07,1,0,0,B40,
510381265,OPEN UNIVERSITY WORLDWIDE USA INC,% FINANCE AND BUSINESS SERVICES,MILTON KEYNES MK7 6AA,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200209,2,17,000000000,1,01,202507,1,0,02,0,07,1,0,0,Q113,
516018405,AMERICAN OVERSEAS SCHOOL OF ROME INC,,00189 ROME RM,ITALY,,00000-0000,0000,03,3,2000,196212,2,15,030000000,1,01,202506,8,8,01,0,06,27251666,16851226,16851226,B24Z,
521053557,AMERICAN FISHERIES SOCIETY,% JOHN MCGEE,TAYMOUTH NB E6C2B2,CANADA,,00000-0000,2378,03,9,1280,197211,1,16,350059000,5,01,202512,0,0,02,0,12,0,0,0,,ATLANTIC INTERNATIONAL CHAPTER
521128190,NATIONAL SHELLFISHERIES ASSOCIATION,% CHRISTOPHER V DAVIS,CHELSEA QC J9B 1N2,CANADA,,00000-0000,0000,03,3,2000,197811,1,16,123120000,1,01,202509,5,4,01,0,09,560643,251192,248470,D033,MINISTRY OF AGRICULTURE FISHERIES F
521182681,LAKEFIELD COLLEGE SCHOOL FOUNDATION AMERICAN INC,,LAKEFIELD ON K0L2H0,CANADA,,00000-0000,0000,03,3,1000,198002,4,04,602000000,1,01,202506,1,1,00,1,06,1,2927,,Q113,
521220321,INTERNATIONAL BUSINESS AVIATION COUNCIL INC,% 999 UNIVERSITY ST STE 16 33,MONTREAL QUEBEC H3C 5J9,CANADA,,00000-0000,0000,06,3,2000,198201,2,00,200480000,1,01,202512,6,6,01,0,12,1161025,3061845,3059630,,
521291786,ASSOCIATION FOR WOMENS RIGHTS IN DEVELOPMENT,,TORONTO M5T 2C2,CANADA,,00000-0000,0000,03,3,2000,198308,4,16,205123000,1,01,202412,8,7,01,0,12,28979802,6688966,6688966,Q700,
521459222,MAMOU ELDERLY HOUSING DEVELOPMENT CORPORATION,,100 TORRE SANCHEZ ERAZO SUITE ADMI,BAYAMON,PR,00959-8201,0000,03,3,1000,200206,1,15,160000000,1,01,202503,6,5,01,0,03,1374199,623359,623359,L21Z,SAVOY HEIGHTS-MAMOU ELDERLY HOUSING
521503236,WORLD ASSOCIATION FOR INFANT MENTAL HEALTH INC,% HIRAM E FITZGERALD PHD,TAMPERE 33014,FINLAND,,00000-0000,0000,03,3,1200,198704,2,16,123000000,1,01,202512,4,3,01,0,12,473418,65296,65296,,
521580447,AFRICAN ECONOMIC RESEARCH CONSORTIUM INC,,NAIROBI,KENYA,,00000-0000,0000,03,3,1000,198906,1,15,124000000,5,01,202503,8,8,01,0,03,29254761,15409899,8554150,Q320,
521655900,RESERVE ORGANIZATION OF AMERICA,% FAR EAST DEPARTMENT,YOKOHAMA 222-0012,JAPAN,,00000-0000,0000,19,3,1000,202410,2,00,907908000,5,01,,0,0,01,0,04,,,,,
521672838,AARP 4710 HATO REY,% TAX DEPT,MONTECILLO 2 VIA PEDREGAL APTD 2101,TRUJILO ALTO,PR,00976-0000,1867,04,9,3000,197104,2,00,575000000,5,01,,0,0,02,0,12,,,,,4710 HATO REY
521685933,AMERICAN CHAMBER FOUNDATION PHILIPPINES INC,,SALCEDO VILLAGE MAKATI CITY,PHILIPPINES,,00000-0000,0000,03,3,1000,198808,1,15,040000000,1,01,202512,0,0,02,0,12,0,0,0,B82,
521809771,INTERNATIONAL SOCIETY FOR CELLULAR THERAPY,% ABE GRANAT,VANCOUVER BRITISH COLUMBIA V6C 1A5,CANADA,,00000-0000,0000,03,3,1000,199411,4,15,199000000,1,01,202412,8,7,01,0,12,13218140,7494736,7494736,,
521860470,HISPANIC EDUCATIONAL TECHNOLOGY SERVICES INC,% YUBELKYS MONTALVO,PO BOX 191293,SAN JUAN,PR,00919-1293,0000,03,3,1200,199404,1,15,994059000,1,01,202506,4,4,01,0,06,348349,367053,367053,B99,
521877778,TOASMASTERS INTERNATIONAL,% AMBASSADORS OF SPEECH CLUB,CAROMB 84330,FRANCE,,00000-0000,0820,03,9,2000,194505,1,16,059319000,5,01,202512,0,0,02,0,12,0,0,0,,9898 AMBASSADORS OF SPEECH CLUB
521945379,FONDO MEXICANO PARA LA CONSERVACION DE LA NATURALEZA AC,% WORLD WILDLIFE FUND,MEXICO CITY 04010,MEXICO,,00000-0000,0000,03,3,1200,199512,4,15,379000000,1,01,202412,9,9,01,0,12,220685957,57137320,57137320,C99Z,MEXICAN NATURE CONSERVATION FUND AC
521960422,U S FOUNDATION FOR QUEENS UNIVERSITY AT KINGSTON,% MICHELLE FUKO,KINGSTON ON K7L 3N6,CANADA,,00000-0000,0000,03,3,1000,199603,4,15,994000000,1,01,202504,3,7,01,0,04,95496,5240101,5240101,,
521970455,CARLETON UNIVERSITY FOUNDATION U S,% CAPLAN & DRYSDALE,OTTAWA ONTARIO K1S 5B6,CANADA,,00000-0000,0000,03,3,1000,199604,4,16,994059602,1,01,202512,1,1,02,0,12,722,8551,8551,T30,
522007608,AMERICAN FRIENDS OF MACHON DANIEL INC,% YONA VOGEL,JERUSALEM JERUSALEM 93878,ISRAEL,,00000-0000,0000,03,3,1000,199703,1,15,994029000,1,01,202412,3,4,01,0,12,83356,108110,108110,T99,
522039091,AMERICAN SCHOOL OF WARSAW FOUNDATION INC,% UL WARSZAWSKA 202,KONSTANCINJEZIORNA 05-520,POLAND,,00000-0000,0000,03,3,1000,199809,2,15,059000000,1,01,202506,8,7,14,0,06,42543550,5134127,5134127,Q113,
522065453,INTERNATIONAL DOI FOUNDATION INC,% VIRGINIA HENDRICKS,RICHMOND SURREY TW9 1EU,UNITED KINGDOM,,00000-0000,0000,06,3,1200,199806,2,00,200000000,1,01,202412,6,6,01,0,12,1707373,1139144,1139144,,
522168278,BRIERCREST FAMILY OF SCHOOLS USA,% WARREN DUECK,VANCOUVER BC V6E 0C9,CANADA,,00000-0000,0000,03,3,1000,199911,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,B82,
522241962,ACCESS TO RACIAL & CULTURAL HEALTH INSTITUTE INC,% ROSALIND PARKER,22 D EST LA GRAND PRINCESS STE 4,ST CROIX,VI,00820-0000,0000,03,3,1200,200007,1,15,000000000,1,01,202412,3,5,01,0,12,87133,584494,584494,P20,
522253278,U STREET INC,,100 AVE BORINQUEN 6015,AGUADILLA,PR,00603-0000,0000,03,3,1000,202404,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,A68,
522290427,CROPLIFE LATIN AMERICA INC,% CARLOS BUZIO,SAN JOSE SAN JOSE 1756-1000,COSTA RICA,,00000-0000,0000,06,3,2000,200112,2,00,000000000,1,01,202412,6,6,01,0,12,2550801,2736564,2736564,Q31,
522343746,UNIQUE XPRESSIONS MINISTRIES INC,% SHARON AMEY,PO BOX 303764,ST THOMAS,VI,00803-3764,0000,03,3,1200,201406,1,15,000000000,1,01,202512,4,0,02,0,12,288548,0,0,B19,
522450435,EDUQUEMOS PARA LA VIDA INC,% URB VILLAS DEL NORTE,116 CALLE AMATISTA,MOROVIS,PR,00687-3739,0000,03,3,2000,202105,1,15,000000000,1,01,202412,4,5,01,0,12,200592,988281,988281,,
529771107,PHILIPPINE-AMERICAN EDUCATION FOUNDATION,% JULIO S AMADOR III,MANDALUYONG CITY METRO MANILA 1550,PHILIPPINES,,00000-0000,0000,03,3,2000,197809,2,15,040044000,2,01,202509,7,6,01,0,09,9780576,3601981,3601981,,
540519785,BEDFORD COUNTY CHAMBER OF COMMERCE,,BEDFORD 24523,NORWAY,,00000-0000,0000,06,1,3000,194506,2,00,200403402,1,01,202312,1,4,01,0,12,8040,221895,221895,S41Z,
541574776,TDC RESEARCH FOUNDATION,,ST CATHARINES CA L2T 1W7,CANADA,,00000-0000,0000,03,3,1000,199203,1,04,040000000,1,01,202512,4,1,00,1,12,186388,3106,,,
541773124,GLOBAL POSSE PRODUCTIONS INC,% MUKWAE WABEI M SIYOLWE,BROOKLYN NEW YORK 112053618,MALAWI,,00000-0000,0000,03,3,1000,200312,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A25,
541936855,SKOPELOS FOUNDATION FOR THE ARTS,% SCOTT SOMER,SKOPELOS ISLAND 37003,GREECE,,00000-0000,0000,03,3,1200,200409,2,15,000000000,1,01,202412,4,3,01,0,12,227894,77382,77382,A20,
542106676,WATCH TOWER BIBLE AND TRACT SOCIETY OF GUAM,% ARTHUR A WHITE,143 JEHOVAH ST,BARRIGADA,GU,96913-1264,0000,03,3,7000,200312,1,10,000000000,1,01,,0,0,06,0,08,,,,X20,
550873927,HOPE WADDELL OLD STUDENTS ASSOCIATION NORTH AMERICA,% SONNI OBERU ARIBIAH,ELLICOTT CITY 21042,NIGERIA,,00000-0000,0000,03,3,1000,200704,1,15,000000000,1,01,202406,0,0,02,0,06,0,0,0,Q30,
560811325,HOLLY HILL WESLEYAN CHURCH,,THOMASVILLE,ALBANIA,,00000-0000,2079,03,9,7200,197005,1,10,601030000,5,01,,0,0,06,0,12,,,,,
561116416,AMERICAN LEGION,% THE AMERICAN LEGION WAYNE NC,DUDLEY NC 28333,NEW CALEDONIA,,00000-0000,0925,19,9,1000,194603,1,00,907908000,5,01,202412,0,0,02,0,12,0,0,0,,0011 WAYNE INC
561978798,ORGANIZATION OF CHRISTIAN MINISTRIES INC,% REV JAMES KINYANJUI,NAKURU NAKURU 01000,KENYA,,00000-0000,0000,03,3,1700,200202,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,
562331353,DR LUIS BAEZ DIAZ BREAST CANCER FOUNDATION OF PUERTO RICO,% MARIA A BENITEZ,PO BOX 193557,SAN JUAN,PR,00919-3557,0000,03,3,2000,200705,1,15,000000000,1,01,202412,6,6,01,0,12,3285936,1726054,1726054,G32,SUSAN G KOMEN PUERTO RICO INC
562453653,INTERNATIONAL COUNCIL ON WOMENS HEALTH ISSUES,% CLAIRE FAGIN HALL,WOOLLAHRA NSW 2025,AUSTRALIA,,00000-0000,0000,03,3,2000,201411,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,E03,
581248962,AMERICAN LEGION AUXILIARY,% PHYLLIS BOYD,CHATSWORTH GA 30705,GEORGIA,,00000-0000,0964,19,9,1000,194610,1,00,319000000,5,01,202512,0,0,02,0,12,0,0,0,,167 MURRAY COUNTY
581438275,THE CLASSIFICATION SOCIETY,% BRIAN FRANCZAK,EDMONTON,CANADA,,00000-0000,0000,03,3,1200,202207,1,15,205000000,1,01,202505,0,0,02,0,05,0,0,0,H03,
581496222,SPRING OF LIVING WATER,,FARMVILLE,ALBANIA,,00000-0000,1619,03,9,7000,000000,1,10,001030059,5,01,,0,0,06,0,06,,,,,PENTECOSTAL HOLINESS CHURCH
582015174,AMVETS,% CSM FRANK SIMMONS,SANDERSVILLE POB 284 31082,GEORGIA,,00000-0000,0838,19,9,1000,194505,1,00,907000000,5,01,202408,0,0,02,0,08,0,0,0,,0110 GA
582016135,THE CONCERNED CITIZENS COMMUNITY CLUB OF BOSTON GEORGIA INC,% JIMMIE BACON,BOSTON US 31626,GEORGIA,,00000-0000,0000,03,3,1000,201406,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,S99,
582025963,SCOUTS ON STAMPS SOCIETY INTERNATIONAL INC,% J ALEX HADDEN,RICHMOND BC V6Y1A3,CANADA,,00000-0000,0000,03,3,2000,201611,1,16,281000000,1,01,202512,3,1,02,0,12,46756,9275,9275,O40,
582312603,LOIS E & R DUKE MILLER FAMILY FOUNDATION INC,% R DUKE MILLER,ALEXANDRIA ONTARIO K0C 1A0,CANADA,,00000-0000,0000,03,3,1000,199801,1,04,602000000,1,01,202512,4,4,00,1,12,317851,221406,,T90Z,
582635318,NATIONAL HOCKEY LEAGUE COACHES ASSOCIATION,% MICHAEL HIRSHFELD,TORONTO ON M4C 1C4,CANADA,,00000-0000,0000,06,3,2000,200303,2,00,000000000,1,01,202412,4,5,01,0,12,496429,979620,902053,S41,
592606654,INTERNATIONAL BUREAU FOR EPILEPSY,% OFFICE 0208 NESTA BUSINESS CENTRE,SANDYFORD DUBLIN 17,IRELAND,,00000-0000,0000,03,3,1000,198502,2,15,000000000,5,01,202412,6,5,01,0,12,1809469,935491,935491,G54Z,
592649388,DOGWOOD PARK BAPTIST CHURCH,,MOLINO,ALGERIA,,00000-0000,2024,03,9,7200,196908,1,10,059029000,5,01,,0,0,06,0,09,,,,,
610645199,COLONEL HARLAND SANDERS FOUNDATION INC,% WILLIAM KARNY,1C4,CANADA,,00000-0000,0000,03,3,1000,196412,4,04,280000000,1,01,202512,7,5,00,1,12,8753015,900715,,,
611417308,SOCIEDAD AMBIENTE MARINO INC,% SAMUEL SULEIMAN,URB VILLA NEVARES 1130 CALLE 3,SAN JUAN,PR,00921-0000,0000,03,3,1000,201305,1,15,000000000,1,01,202512,6,6,01,0,12,1021934,1457685,1457685,B80,
611497135,NIRVANA TEMPLE INC,% MAY TRIEU,42 KRONPRINDSENS GADE,ST THOMAS,VI,00802-0000,0000,03,3,7200,200807,1,10,000000000,1,01,,0,0,06,0,12,,,,X50,
611600780,WORLD CHILDRENS PRIZE FOR THE RIGHTS OF THE CHILD USA,,MARIEFRED 647 30,SWEDEN,,00000-0000,0000,03,3,1000,201006,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,O99,
611733844,ALPHA PHI OMEGA,% INTERAMERICAN UNIVERSITY SAN GERM,PO BOX 5100,SAN GERMAN,PR,00683-9801,1113,03,9,1000,196606,1,16,036000000,5,01,202312,0,0,02,0,12,0,0,0,,PSI ETA CHAPTER
611735944,JOCKS INFLUENCE LIMITED,% BETH BISSO BLOOD,LONDON EC4M 7AN,UNITED KINGDOM,,00000-0000,0000,03,3,1000,201410,1,04,000000000,1,01,202412,5,4,00,1,12,515832,162644,,T20,
611793315,SHOEBOX PROJECT FOR SHELTERS INC,,TORONTO ON M6H 4K9,CANADA,,00000-0000,0000,03,3,1000,201610,1,15,000000000,1,01,202503,0,0,01,0,03,0,0,0,P85,
611889562,VILLAGES OF HOPE AFRICA SOCIETY,,MISSISSAUGA ON L5N 5Z6,CANADA,,00000-0000,0000,03,3,1000,202206,1,15,000000000,1,01,202412,4,5,01,0,12,164754,557468,557468,P30,
611951638,A@BETTER WORLD HELPING HANDS USA,,LACOMBE AB T4L 2A6,CANADA,,00000-0000,0000,03,3,1000,202011,1,15,000000000,1,01,202512,3,3,01,0,12,42075,53817,53817,Q33,
611988490,KINVEST IMPACT FOUNDATION,,ALDERGROVE BRITISH COLUMBIA V4W 3X2,CANADA,,00000-0000,0000,03,3,1000,202205,1,15,000000000,1,01,202506,1,4,01,0,06,1206,218169,218169,Q11,
611991705,TOP 10 FOUNDATION INC,,MIAMI DOMENICAN REPUBLI 33131,DOMINICAN REPUBLIC,,00000-0000,0000,03,3,1000,202202,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,P20,
611995257,TRANSPLANT INFECTIOUS DISEASE INC,% JOHN BADDLEY,MONTREAL QUEBEC H3C 3X6,CANADA,,00000-0000,0000,03,3,1200,202309,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,G03,
612032838,TOASTMASTERS INTERNATIONAL,% ONLINE PRESENTERS,ST ANDREW KSA,JAMAICA,,00000-0000,0820,03,9,2000,194505,1,16,059319000,1,01,202512,0,0,02,0,12,0,0,0,,5987684 ONLINE PRESENTERS
612104373,TOASTMASTERS INTERNATIONAL,% NEURODIVERSE LEADERSHIP TOASTMASR,AJIJIC JALISCO 45920,MEXICO,,00000-0000,0820,03,9,2000,194505,1,16,059319000,1,01,202512,0,0,02,0,12,0,0,0,,28675344 NEURODIVERSE LEADERSHIP TS
612106878,FRIENDS OF UFARATZTA CENTER OF JERUSALEM INC,% SHAKED MAYNER,JERUSALEM 9439034,ISRAEL,,00000-0000,0000,03,3,1270,202309,1,15,000000000,1,01,202511,0,0,02,0,11,0,0,0,X11,
612269965,VERITREE FOUNDATION,,VANCOUVER BC V6A 2E4,CANADA,,00000-0000,0000,03,3,1000,202509,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,T99,
612307682,ALASOW FOUNDATION INTERNATIONAL INC,% DAHIR ALASOW,BREDA,NETHERLANDS,,00000-0000,0000,03,3,1000,202602,1,15,000000000,1,01,,0,0,01,0,12,,,,P20,
612330129,UN GANCIO AL PARKINSON ASSOCIATION,,FLORENCE TUSCANY 50136,ITALY,,00000-0000,0000,03,3,1000,202603,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,G80,
631014969,IN HIS SERVICE MINISTRIES,% JENNY MERNICKLE,EDMONTON AB T6B156,CANADA,,00000-0000,1620,03,9,7000,196402,1,10,001029000,5,01,,0,0,06,0,12,,,,,
640811216,FIRST ASSEMBLY OF GOD,% MARY ANN SMITH,HORN LAKE,AKROTIRI,,00000-0000,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
650216638,EVERGLADES COLLEGE INC,% BRIAN GARRETT,COND EL MIRADOR,SAN JUAN,PR,00915-2866,0000,03,3,2000,200108,1,11,000000000,1,01,202412,9,9,01,0,12,968311644,663296165,663296165,B42,EVERGLADES UNIVERSITY
650225746,RELIGIOUS OF THE APOSTOLATE OF FLORIDA INC,,PO BOX 8300,PONCE,PR,00732-8300,0928,03,9,1700,194603,1,10,031150120,5,01,,0,0,06,0,12,,,,,
650909569,CHRISTIAN LEWIS CHILDRENS CANCER CARE INC,% STEEL HECTOR & DAVIS LLP,SWANSEA SA2 0GB,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200004,2,04,000000000,1,01,202508,1,1,00,1,08,1,1,,P74,
650909590,CHRISTIAN LEWIS HOLDINGS INC,% STEEL HECTOR & DAVIS LLP,SWANSEA SA20GB,UNITED KINGDOM,,00000-0000,0000,02,3,1000,200004,2,00,000000000,1,01,202508,3,2,02,0,08,95122,24000,24000,S47,
651257126,PRAISEGATE INTERNATIONAL MINISTRIES,% JONAS BERGSTEN,ARJANG 67294,SWEDEN,,00000-0000,0000,03,3,7000,200607,1,15,000000000,5,01,202512,0,0,02,0,12,0,0,0,X20,
660056721,AMERICAN LEGION,% HARRY E TROCHE,HC O1 BOX 1151,BOQUERON,PR,00622-0000,0925,19,9,1000,194603,2,00,907908000,5,01,202512,0,0,02,0,12,0,0,0,W30,0154 LUIS HERNANDEZ RODRIGUEZ
660176861,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 191982,SAN JUAN,PR,00919-1982,1156,08,9,1000,197210,1,00,279265000,5,01,,0,0,00,0,03,,,,,0972 SAN JUAN
660177776,INTER AMERICAN UNIVERSITY OF PUERTO RICO,,PO BOX 363255,SAN JUAN,PR,00936-3255,0000,03,3,2700,194307,1,11,030000000,1,01,202506,9,9,01,0,06,812184680,247725714,246380438,B430,
660177824,PRESBYTERIAN COMMUNITY HOSPITAL INC,,1451 ASHFORD AVENUE,SAN JUAN,PR,00907-1511,0000,03,3,1000,194905,1,12,059179150,1,01,202506,8,9,01,0,06,48780986,79011518,78516145,,
